Campaña,ENSO,Región,Departamento/Partido,Localidad,Zona,Cultivo,Subgrupo,1°/2°,Superficie Sembrada,Superficie Cosechada,Destino,Rendimiento,Antecesor,Genética,Ciclo_OK,Fecha de siembra (dd/mm/aaaa),Agua al inicio,Riego,Sistema de riego,Lámina de riego,Precipitaciones ciclo (sept-abril),Fertilización
2018-19,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,20.1,20.1,GRANO,4408.955224,MAÍZ DE 1° TEMPRANO,BIO 5.4,5 CORTO,2018-12-09,,NO,,,651.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,20.1,20.1,GRANO,2030.0,SOJA DE 2°,DM 53I53 IPRO,5 CORTO,2026-01-27,160.0,SI,ASPERSIÓN PIVOT CENTRAL,20.0,763.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,20.5,20.5,GRANO,3670.634146,CENTENO,OTRO,S/D,2025-12-20,220.0,SI,ASPERSIÓN PIVOT CENTRAL,33.0,993.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,20.5,20.5,GRANO,2550.0,TRIGO,OTRO,S/D,2020-12-06,160.0,SI,ASPERSIÓN PIVOT CENTRAL,118.0,408.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,20.7,20.7,GRANO,4010.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2024-12-06,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,20.7,20.7,GRANO,4910.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2023-12-08,,NO,,,861.0,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,20.73,20.73,GRANO,2236.372407,MAÍZ DE 1° TARDIO,DM 4915 IPRO,4 LARGO,2021-11-13,,NO,,,568.0,SIN FERTILIZACIÓN
2013-14,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,20.8,20.8,GRANO,3240.0,MAÍZ DE 1° TEMPRANO,DM 6.2 I,6 CORTO,2013-12-12,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,20.9,20.9,GRANO,3280.0,MAÍZ DE 2°,DM 50I17 IPRO STS,5 CORTO,2023-11-25,,NO,,,,CON FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,SANTA CATALINA,3,SOJA,NO OGM,1°,21.2,21.2,GRANO,3123.867925,CULTIVO DE SERVICIO,OTRO,S/D,2020-11-23,,NO,,,666.0,CON FERTILIZACIÓN
2013-14,NEUTRO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,3453.0,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2013-12-02,,NO,,,,CON FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,2150.140845,MAÍZ DE 1° TEMPRANO,DM 4915 IPRO,4 LARGO,2017-12-07,,NO,,,346.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.3,21.3,GRANO,4150.234742,MAÍZ DE 2°,DM 4212,4 CORTO,2015-11-07,,NO,,,,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,21.3,21.3,GRANO,2699.530516,TRIGO,OTRO,S/D,2025-12-21,220.0,SI,ASPERSIÓN PIVOT CENTRAL,26.0,993.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,21.3,21.3,GRANO,3554.0,TRIGO,DM 60I62 IPRO,6 CORTO,2024-12-10,,SI,ASPERSIÓN PIVOT CENTRAL,86.0,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,TOTORAL,LOS MISTOLES,1,SOJA,OGM,1°,21.32,21.32,GRANO,3961.069418,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2016-11-29,,NO,,,,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,LOS MISTOLES,1,SOJA,OGM,1°,21.32,21.32,GRANO,3337.242026,MAÍZ DE 2°,HO 59136 IPRO,5 LARGO,2020-12-18,,NO,,,519.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TULUMBA,SAN JOSÉ DE LA DORMIDA,5,SOJA,OGM,2°,21.4,21.4,GRANO,3653.0,TRIGO,LDC 5.9 STS,5 LARGO,2025-12-04,,NO,,,878.0,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.5,21.5,GRANO,1757.0,MAÍZ DE 1° TARDIO,60MS01 STS,6 CORTO,2021-12-17,,NO,,,485.0,CON FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,21.5,21.5,GRANO,2890.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2023-12-28,,NO,,,572.0,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,21.5,21.5,GRANO,600.0,MAÍZ DE 2°,BIO 5.4,5 CORTO,2017-12-13,,NO,,,,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,21.5,21.5,GRANO,2828.0,MAÍZ DE 2°,BIO 5.4,5 CORTO,2021-12-15,,NO,,,544.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.5,21.5,GRANO,1736.0,SORGO,NS 5030 IPRO STS,5 CORTO,2023-12-04,,NO,,,,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,2°,21.5,21.5,GRANO,2980.0,TRIGO,DM 60I62 IPRO,6 CORTO,2024-12-20,,NO,,,676.0,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,21.5,21.5,GRANO,4235.348837,TRIGO,DM 60I62 IPRO,6 CORTO,2025-12-17,220.0,NO,,,993.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,21.5,21.5,GRANO,2200.0,TRIGO,OTRO,S/D,2020-12-01,140.0,SI,ASPERSIÓN PIVOT CENTRAL,130.0,408.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,21.5,21.5,GRANO,3330.0,S/D,DM 53I53 IPRO,5 CORTO,2023-12-08,,NO,,,1004.0,S/D
2022-23,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.63,21.63,GRANO,2380.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2022-11-26,,NO,,,533.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.63,21.63,GRANO,4170.0,MAÍZ DE 1° TARDIO,NS 5030 IPRO STS,5 CORTO,2024-12-05,,NO,,,632.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,2°,21.63,21.63,GRANO,3159.0,TRIGO,BIO 5.4,5 CORTO,2020-12-19,,NO,,,567.0,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.86,21.86,GRANO,1700.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2022-11-26,,NO,,,533.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,21.86,21.86,GRANO,3442.0,MAÍZ DE 1° TARDIO,NS 5030 IPRO STS,5 CORTO,2024-12-05,,NO,,,632.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,2°,21.86,21.86,GRANO,2281.0,TRIGO,BIO 5.4,5 CORTO,2020-12-19,,NO,,,567.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,TULUMBA,LAS ARRIAS,5,SOJA,OGM,1°,21.88,21.88,GRANO,3446.06947,MAÍZ DE 1° TARDIO,BRV 55621SE,5 CORTO,2023-12-24,,NO,,,671.0,SIN FERTILIZACIÓN
2013-14,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,22.1,22.1,GRANO,2900.0,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2013-11-15,,NO,,,,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,22.5,22.5,GRANO,4435.0,MAÍZ DE 1° TARDIO,DM 50I17 IPRO STS,5 CORTO,2024-11-24,,NO,,,,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,22.5,22.5,GRANO,1180.0,MAÍZ DE 1° TEMPRANO,NS 5258,5 CORTO,2017-12-09,180.0,NO,,,,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,22.5,22.5,GRANO,2520.0,TRIGO,B 1505,5 CORTO,2015-12-22,,NO,,,,SIN FERTILIZACIÓN
2018-19,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,22.7,22.7,GRANO,5428.634361,MAÍZ DE 1° TEMPRANO,DM 5351,5 CORTO,2018-12-09,,NO,,,651.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,22.9,22.9,GRANO,3836.0,SOJA DE 2°,A 5009 RG,5 CORTO,2015-11-28,,NO,,,,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,23.1,23.1,GRANO,4305.0,MAÍZ DE 1° TARDIO,NK 52X21 STS,5 CORTO,2024-11-24,,NO,,,,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TOTORAL,SANTA CATALINA,3,SOJA,NO OGM,1°,23.1,23.1,GRANO,2900.0,SOJA DE 1°,ALIM 5.09,5 CORTO,2025-11-23,120.0,NO,,,878.0,CON FERTILIZACIÓN
2017-18,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,23.2,23.2,GRANO,430.0,MAÍZ DE 1° TEMPRANO,BIO 5.4,5 CORTO,2017-12-06,180.0,NO,,,,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,23.2,23.2,GRANO,1978.448276,TRIGO,A 5009 RG,5 CORTO,2015-12-02,,NO,,,,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.3,23.3,GRANO,2506.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2021-11-17,,NO,,,560.0,CON FERTILIZACIÓN
2019-20,NEUTRO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.3,23.3,GRANO,2890.0,MAÍZ DE 1° TEMPRANO,DM 4915 IPRO,4 LARGO,2019-11-29,,NO,,,464.0,CON FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.3,23.3,GRANO,1230.0,MAÍZ DE 1° TEMPRANO,DM 53I53 IPRO,5 CORTO,2017-12-01,,NO,,,296.0,CON FERTILIZACIÓN
2023-24,NIÑO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.3,23.3,GRANO,3550.0,SORGO,DM 53I53 IPRO,5 CORTO,2023-11-24,,NO,,,719.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,23.3,23.3,GRANO,3500.0,TRIGO,HB4 PRE COMERCIAL,S/D,2020-12-20,190.0,SI,ASPERSIÓN PIVOT CENTRAL,112.0,408.0,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,29.0,23.35,GRANO,780.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2022-12-12,,NO,,,429.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.35,23.35,GRANO,3528.479657,MAÍZ DE 1° TEMPRANO,HO 59136 IPRO,5 LARGO,2020-12-21,,NO,,,576.0,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.35,23.35,GRANO,2113.91863,MAÍZ DE 1° TEMPRANO,LDC 4.5,4 CORTO,2017-12-08,,NO,,,387.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,23.35,23.35,GRANO,4394.432548,MAÍZ DE 2°,LDC 4.5,4 CORTO,2015-11-15,,NO,,,,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,25.0,23.5,GRANO,4885.0,SOJA DE 1°,DM 53I53 IPRO,5 CORTO,2025-12-05,,NO,,,,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,23.5,23.5,GRANO,1418.297872,TRIGO,ALIM 5.09,5 CORTO,2022-12-07,,SI,ASPERSIÓN PIVOT CENTRAL,181.0,565.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,23.6,23.6,GRANO,3610.0,MAÍZ DE 2°,DM 50I17 IPRO STS,5 CORTO,2023-11-24,,NO,,,,CON FERTILIZACIÓN
2023-24,NIÑO,COR,TULUMBA,LAS ARRIAS,5,SOJA,OGM,1°,23.93,23.93,GRANO,2894.692854,MAÍZ DE 1° TARDIO,BRV 55621SE,5 CORTO,2023-12-24,,NO,,,671.0,SIN FERTILIZACIÓN
2021-22,NIÑA,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,24.3,24.3,GRANO,3654.248366,MAÍZ DE 1° TARDIO,DM 4915 IPRO,4 LARGO,2021-11-19,,NO,,,560.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,24.3,24.3,GRANO,3220.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2023-12-28,,NO,,,572.0,SIN FERTILIZACIÓN
2019-20,NEUTRO,COR,ISCHILIN,AVELLANEDA,3,SOJA,OGM,1°,24.3,24.3,GRANO,3360.0,MAÍZ DE 1° TEMPRANO,DM 52R19,5 CORTO,2019-11-17,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,24.4,24.4,GRANO,4550.0,TRIGO,CZ 4.97,4 LARGO,2023-12-05,,SI,ASPERSIÓN PIVOT CENTRAL,205.0,1004.0,S/D
2021-22,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,24.45,24.45,GRANO,2789.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2021-12-05,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,24.45,24.45,GRANO,3256.0,MAÍZ DE 1° TARDIO,DM 60I62 IPRO,6 CORTO,2023-12-10,,NO,,,,SIN FERTILIZACIÓN
2019-20,NEUTRO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,24.45,24.45,GRANO,3380.0,MAÍZ DE 1° TEMPRANO,DM 53I53 IPRO,5 CORTO,2019-12-17,,NO,,,,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,24.45,24.45,GRANO,1880.0,MAÍZ DE 1° TEMPRANO,DM 5958 IPRO,5 LARGO,2017-12-13,,NO,,,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,24.6,24.6,GRANO,3180.0,MAÍZ DE 1° TARDIO,DM 50I17 IPRO STS,5 CORTO,2023-12-21,,NO,,,739.0,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,24.6,24.6,GRANO,1572.357724,MAÍZ DE 1° TEMPRANO,LDC 4.5,4 CORTO,2017-12-08,,NO,,,387.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,24.6,24.6,GRANO,2590.243902,MAÍZ DE 2°,LDC 4.5,4 CORTO,2015-11-15,,NO,,,,SIN FERTILIZACIÓN
2025-26,NIÑA,COR,RIO.PRIMERO,CHALACEA,1,SOJA,OGM,1°,25.2,25.2,GRANO,4182.0,MAÍZ DE 1° TEMPRANO,DM 60K60 SCE,6 CORTO,2025-12-12,,NO,,,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,25.49,25.49,GRANO,4162.024323,MAÍZ DE 1° TEMPRANO,A 5009 RG,5 CORTO,2016-11-24,,NO,,,,SIN FERTILIZACIÓN
2018-19,NIÑO,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,25.49,25.49,GRANO,4019.0,MAÍZ DE 1° TEMPRANO,DM 50I17 IPRO STS,5 CORTO,2018-11-14,,NO,,,599.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,TOTORAL,VILLA DEL TOTORAL,1,SOJA,OGM,1°,25.49,25.49,GRANO,4265.594351,MAÍZ DE 2°,DM 4915 IPRO,4 LARGO,2020-12-20,,NO,,,618.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,25.5,25.5,GRANO,4041.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2024-12-04,,NO,,,,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,25.77,25.77,GRANO,1071.0,MAÍZ DE 1° TARDIO,NK 60X21 IPRO STS,6 CORTO,2022-11-26,,NO,,,533.0,CON FERTILIZACIÓN
2020-21,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,2°,25.77,25.77,GRANO,2483.0,TRIGO,BIO 5.4,5 CORTO,2020-12-20,,NO,,,567.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,25.8,25.8,GRANO,4495.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2024-12-03,,NO,,,,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,TOTORAL,CAÑADA DE LUQUE,1,SOJA,OGM,1°,26.3,26.3,GRANO,660.0,MAÍZ DE 2°,DM 5351,5 CORTO,2017-12-05,,NO,,,296.0,CON FERTILIZACIÓN
2024-25,NEUTRO,COR,TOTORAL,LOS MISTOLES,5,SOJA,OGM,1°,26.4,26.4,GRANO,4341.0,MAÍZ DE 1° TARDIO,DM 53I53 IPRO,5 CORTO,2024-12-04,,NO,,,,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,26.44,26.44,GRANO,738.0,MAÍZ DE 1° TARDIO,60MS01 STS,6 CORTO,2022-11-24,,NO,,,533.0,SIN FERTILIZACIÓN
2024-25,NEUTRO,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,1°,26.44,26.44,GRANO,3831.0,MAÍZ DE 1° TARDIO,NS 5030 IPRO STS,5 CORTO,2024-12-02,,NO,,,632.0,SIN FERTILIZACIÓN
2020-21,NIÑA,COR,SAN.JUSTO,ARROYITO,4,SOJA,OGM,2°,26.44,26.44,GRANO,3560.0,TRIGO,BIO 5.4,5 CORTO,2020-12-18,,NO,,,567.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3850.0,ARVEJA,A 5009 RG,5 CORTO,2015-11-25,,SI,S/D,100.0,,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,849.584906,CÁRTAMO,CZ 4.97,4 LARGO,2022-12-19,,SI,ASPERSIÓN PIVOT CENTRAL,120.0,565.0,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,4130.0,CULTIVO DE SERVICIO,DM 5351,5 CORTO,2015-12-20,,SI,S/D,60.0,,SIN FERTILIZACIÓN
2015-16,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,3290.0,CULTIVO DE SERVICIO,DM 5351,5 CORTO,2015-12-21,,SI,S/D,60.0,,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3875.0,GARBANZO,DM 53I53 IPRO,5 CORTO,2023-12-13,,SI,ASPERSIÓN PIVOT CENTRAL,133.0,1004.0,S/D
2024-25,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3377.0,GARBANZO,DM 46I20 IPRO STS,4 LARGO,2024-12-08,,SI,ASPERSIÓN PIVOT CENTRAL,217.0,,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,1830.0,GARBANZO,BIO 5.4,5 CORTO,2017-11-29,180.0,SI,ASPERSIÓN PIVOT CENTRAL,239.0,,SIN FERTILIZACIÓN
2017-18,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,1800.0,GARBANZO,NS 5258,5 CORTO,2017-11-30,180.0,SI,ASPERSIÓN PIVOT CENTRAL,250.0,,SIN FERTILIZACIÓN
2018-19,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3200.0,GARBANZO,NS 5258,5 CORTO,2018-12-28,120.0,SI,ASPERSIÓN PIVOT CENTRAL,42.0,651.0,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,2553.962264,GIRASOL,DM 5351,5 CORTO,2017-01-22,,SI,S/D,15.0,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,2127.54717,GIRASOL,DM 5351,5 CORTO,2017-01-22,,SI,S/D,15.0,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,1975.849057,GIRASOL,DM 5351,5 CORTO,2017-01-22,,SI,S/D,15.0,,SIN FERTILIZACIÓN
2016-17,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,3457.0,MAÍZ DE 2°,DM 5351,5 CORTO,2016-12-08,,SI,S/D,120.0,,SIN FERTILIZACIÓN
2019-20,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,1°,26.5,26.5,GRANO,2600.0,POROTO,BIO 5.4,5 CORTO,2020-01-20,,NO,,,579.0,SIN FERTILIZACIÓN
2022-23,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,1533.207547,TRIGO,DM 46I20 IPRO STS,4 LARGO,2022-12-18,,SI,ASPERSIÓN PIVOT CENTRAL,113.0,565.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3270.0,TRIGO,CZ 4.97,4 LARGO,2023-11-28,,SI,ASPERSIÓN PIVOT CENTRAL,119.0,1004.0,S/D
2019-20,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3600.0,TRIGO,BIO 5.4,5 CORTO,2019-12-16,,SI,ASPERSIÓN PIVOT CENTRAL,120.0,579.0,SIN FERTILIZACIÓN
2019-20,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3300.0,TRIGO,BIO 5.4,5 CORTO,2019-12-13,,SI,ASPERSIÓN PIVOT CENTRAL,120.0,579.0,SIN FERTILIZACIÓN
2019-20,NEUTRO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3300.0,TRIGO,DM 50I17 IPRO STS,5 CORTO,2019-12-11,,SI,ASPERSIÓN PIVOT CENTRAL,135.0,579.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3440.0,TRIGO,DM 46I20 IPRO STS,4 LARGO,2023-12-11,,SI,ASPERSIÓN PIVOT CENTRAL,135.0,1004.0,S/D
2020-21,NIÑA,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,NO OGM,2°,26.5,26.5,GRANO,3300.0,TRIGO,ALIM 5.09,5 CORTO,2020-12-07,190.0,SI,ASPERSIÓN PIVOT CENTRAL,144.0,408.0,SIN FERTILIZACIÓN
2023-24,NIÑO,COR,RIO.PRIMERO,MONTE DEL ROSARIO,1,SOJA,OGM,2°,26.5,26.5,GRANO,3698.0,TRIGO,NS 5028 STS,5 CORTO,2023-12-12,,SI,ASPERSIÓN PIVOT CENTRAL,157.0,1004.0,S/D
